pdb,top1_rmsd,top5_rmsd
6cjp,0.47435,0.47435
6g2o,0.226142,0.226142
6qrg,1.39089,1.39089
6s07,5.80491,5.1597
6i75,2.35767,1.31806
6uvp,1.63892,1.63892
6rpg,5.40805,1.92741
6op0,0.906826,0.906826
6npm,0.675292,0.675292
6oxz,1.0064,1.0064
6os6,1.24329,1.24329
6nrg,0.831974,0.831974
6hot,0.459317,0.459317
6n53,1.49989,1.49989
6dz2,0.933723,0.933723
6pno,3.99747,3.29401
6qqt,0.576451,0.576451
6i7a,3.03694,3.03694
6om4,5.05611,3.09476
6i78,0.451643,0.451643
6mo2,8.57184,3.41357
6qrf,0.639075,0.639075
6uhu,0.979278,0.918612
6md6,6.49072,4.64972
6izq,1.30201,1.30201
6ueg,1.32797,1.32797
6i67,0.694928,0.694928
6qr9,2.21834,1.8837
5zxk,1.33583,1.33583
6qto,3.72003,2.6167
6cf7,1.63697,0.749357
6gj6,0.486722,0.486722
6rr0,3.55286,2.88669
6oxy,0.609876,0.609876
6sfc,2.23694,0.882517
6moa,0.677851,0.677851
6nrf,0.681859,0.681859
6e4v,1.16021,1.16021
6pyb,2.00561,1.47449
5zcu,1.06275,1.06275
6nv9,0.64019,0.64019
6od6,0.969867,0.969867
6hoq,0.905013,0.520159
6d3z,1.04198,1.04198
6n92,3.79244,1.85248
6jag,0.386828,0.386828
6qre,2.02089,0.535134
6o3y,12.4059,10.7102
6kqi,0.832643,0.832643
6e4c,4.21521,2.30372
6jwa,1.34197,1.34197
6miy,1.46075,1.46075
6g2b,0.303588,0.303588
6nv7,0.710875,0.710875
6i66,0.950709,0.950709
6k05,1.27525,1.27525
6pgo,0.555322,0.555322
6qgf,2.95813,2.95813
6efk,3.19085,1.45216
6g25,0.309117,0.309117
6qqz,0.148111,0.148111
6pya,0.386613,0.386613
6qwi,5.88172,2.63857
6jan,0.310933,0.310933
6qqq,4.50831,1.33779
6dz0,0.778553,0.778553
6i5p,2.82646,2.25058
6d3y,1.38012,1.38012
6e3p,6.43841,3.43565
6s9x,1.63601,1.63601
6o3x,7.27468,6.37836
6ten,0.611828,0.611828
6t6a,0.558479,0.558479
6i65,0.819137,0.671575
6mjj,3.37547,1.601
6d3x,1.12716,1.12716
6jsz,0.68532,0.68532
6k04,1.15095,1.15095
6qge,4.83043,2.34074
6j9y,0.265753,0.265753
6g24,5.93614,0.566939
6nlj,1.20043,1.20043
6jam,0.155241,0.155241
6jsg,0.236401,0.236401
6s9w,1.49868,1.23769
6oy1,0.639336,0.639336
6qlt,1.79189,1.64594
6np5,8.74167,3.68107
6i64,0.722191,0.516284
6mji,1.86724,1.86724
6ibz,0.729937,0.729937
6oie,9.88206,8.07994
6hhr,1.50402,1.50402
6e6j,0.329369,0.329369
6jon,1.39121,1.39121
6mo9,7.69423,6.96755
6cyg,1.38832,1.38832
6e3o,4.50661,2.00708
6cjs,0.484079,0.484079
6q4q,2.10618,1.88743
6s57,1.55741,0.687665
6jsf,0.26125,0.26125
6qts,6.19604,5.32973
6oy0,1.58925,1.58925
6miv,3.04642,1.45011
6jid,0.421147,0.421147
6tel,0.283738,0.283738
6nrj,1.8253,1.48547
6qrc,1.96448,0.295523
6iby,0.215005,0.215005
6a1c,6.13539,2.90721
6ffg,0.23279,0.23279
6n96,8.46153,7.61595
6p8y,3.81489,0.650975
6ufo,1.41293,1.41293
6nsv,4.69605,2.23634
6quw,0.346036,0.346036
6i41,6.84411,1.31778
6jse,0.53248,0.53248
5zjy,13.5913,6.25103
6h9v,0.498009,0.498009
6g3c,0.315722,0.315722
6fe5,1.0086,0.836831
6g2f,0.190877,0.190877
6qtr,8.20107,6.99236
6ggb,1.06778,0.562747
6jb0,0.384074,0.338532
6ibx,0.282758,0.282758
6g29,0.374746,0.374746
6hhp,3.30105,1.37579
6e3n,4.23085,3.31135
6qsz,2.83239,2.83239
6fff,1.03708,1.03708
6gwe,3.98211,1.11735
6n55,4.01812,4.01812
6qfe,1.41793,1.41793
6d40,1.00062,1.00062
6uwv,1.63167,1.58518
6kjf,1.35252,1.35252
6gbw,1.84722,1.84722
6p8x,0.784896,0.784896
6ufn,1.62828,0.613117
6sen,9.97736,8.76012
6ovz,5.74196,2.99105
6hbn,0.35737,0.35737
6hv2,3.66036,3.66036
6fcj,4.59547,1.28088
6qzh,0.497957,0.497957
6olx,1.47551,1.47551
6g2e,0.921663,0.87759
6hmt,3.05658,1.67103
6uii,3.19354,1.43443
6gga,0.723999,0.723999
6ooy,0.558215,0.558215
6k2n,11.6605,8.14503
6i9a,4.79955,4.73975
6qr0,0.249314,0.249314
6ffe,0.518167,0.518167
6oxp,1.08744,1.08744
6jaq,0.140981,0.140981
6n94,6.67664,3.19516
6mhd,6.28355,5.72997
6qtx,3.05517,3.05517
6jut,0.351165,0.351165
6oxv,0.519368,0.519368
6uhv,1.62098,1.62098
6i68,4.34922,1.75656
6gzy,7.04144,3.07599
6ftf,0.106146,0.106146
6g27,0.491129,0.491129
5zk7,7.116,7.116
6e3z,0.316198,0.316198
6jap,0.22081,0.22081
6kjd,2.23219,0.874046
6n93,3.39538,3.26086
6g9f,3.32507,2.4102
6jbb,0.324638,0.324638
6mhc,5.0887,3.95453
6qtw,3.31638,2.0878
6oip,2.45414,0.213089
6rtn,4.91855,1.87029
6ic0,0.348959,0.348959
6g2c,0.283029,0.283029
6i8m,0.631567,0.631567
6pgp,0.395348,0.395348
6n4b,7.15622,1.09771
6q38,2.42447,1.71428
5zml,11.3527,6.43844
6jao,0.207736,0.207736
6r4k,7.16699,4.01348
6nw3,0.345617,0.345617
6uvv,2.17576,0.703122
6mhb,3.27638,1.2022
6hmy,6.62426,3.71147
6i8t,0.331748,0.331748
6oio,0.32387,0.32387
6a6k,0.596413,0.596413
6mja,1.59408,1.59408
6ggf,0.787698,0.787698
6jb4,0.368503,0.368503
5zk5,14.3267,8.73955
6mo0,4.62639,4.62639
6c85,3.9693,3.63236
6dyz,0.505331,0.505331
6cjj,1.04187,1.04187
6nd3,1.77554,1.77554
6oin,0.279452,0.279452
5zlf,2.13862,1.70846
6hhj,1.63095,1.3807
6uim,2.68261,1.6037
6gge,1.2215,1.2215
6oy2,0.78241,0.78241
6jmf,0.508141,0.508141
6qi7,3.84295,1.60054
6rz6,0.713956,0.713956
6qr4,0.384516,0.384516
6ott,9.29655,4.18354
6d5w,3.48789,0.535533
6oxt,1.05938,1.05938
6oi8,0.135866,0.135866
6cyh,2.37455,0.979994
6te6,0.731394,0.731394
6v5l,7.05079,1.7493
6h7d,0.598344,0.598344
6qlq,1.27408,1.27408
6py0,9.61242,1.93923
6mjq,3.23912,1.51963
6oim,8.7797,0.494832
6uil,1.84992,1.1145
6qxd,8.09269,7.6079
6ggd,1.01024,1.01024
6r7d,0.39144,0.39144
6qr3,0.165463,0.165463
6oxs,1.76924,1.76924
6inz,0.45652,0.45652
6jsn,0.339898,0.339898
6hhg,1.29852,1.29852
6pz4,1.00993,1.00993
6o5u,8.49416,0.540754
6qxa,4.69126,4.69126
6jad,0.294206,0.294206
