pdb,top1_rmsd,top5_rmsd
6mo2,14.6039,13.07
6qrf,0.792192,0.791575
6uhu,0.688012,0.688012
6md6,4.84419,4.84419
6izq,2.02488,2.02488
6ueg,23.1452,22.9917
6i67,0.810458,0.810458
6qr9,2.23047,1.24419
5zxk,1.34486,1.34156
6qto,2.6051,2.31226
6cf7,75.5036,74.7223
6gj6,0.514036,0.514036
6rr0,12.1939,11.6929
6oxy,0.664399,0.664399
6sfc,2.25206,0.861761
6moa,1.62092,0.705876
6nrf,0.677316,0.677316
6e4v,7.99868,7.28148
6pyb,0.751837,0.751837
5zcu,1.04236,1.04236
6nv9,0.678068,0.678068
6od6,0.958586,0.958586
6hoq,0.535176,0.535176
6d3z,13.6011,9.73232
6n92,53.3406,53.3406
6jag,0.274149,0.274149
6qre,21.2961,21.0253
6o3y,12.594,7.45559
6kqi,0.818673,0.818673
6e4c,4.22198,2.54778
6jwa,0.6004,0.6004
6miy,2.39398,1.58609
6g2b,0.433722,0.433722
6nv7,0.785025,0.785025
6i66,1.63925,1.0067
6k05,1.68335,1.68335
6pgo,0.59788,0.59788
6qgf,3.20582,2.74709
6efk,1.24021,1.24021
6g25,1.91926,0.393573
6qqz,23.2822,23.2822
6pya,0.270542,0.270542
6qwi,39.5985,39.5985
6jan,0.599196,0.599196
6qqq,4.49344,0.969784
6dz0,0.478104,0.478104
6i5p,2.11789,2.11789
6d3y,2.08842,1.28331
6e3p,7.39222,4.74381
6s9x,1.60512,1.60512
6o3x,6.16281,2.00274
6ten,0.137017,0.137017
6t6a,0.476746,0.476746
6i65,2.06164,0.808197
6mjj,2.19267,1.62049
6d3x,1.04586,1.04586
6jsz,0.345988,0.345988
6k04,0.600598,0.600598
6qge,2.41663,2.41663
6j9y,0.278332,0.278332
6g24,14.865,13.0473
6nlj,20.2847,16.5495
6jam,0.173318,0.173318
6jsg,0.305175,0.305175
6s9w,1.33129,1.33129
6oy1,0.965144,0.965144
6qlt,4.39842,1.37792
6np5,8.46135,0.734233
6i64,0.753028,0.645614
6mji,1.97557,1.97557
6ibz,0.761301,0.761301
6oie,10.3829,8.29696
6hhr,1.51334,1.51334
6e6j,0.456888,0.436211
6jon,0.966001,0.966001
6mo9,37.0303,36.3837
6cyg,1.10902,1.10902
6e3o,3.30829,1.97675
6cjs,2.45874,0.845808
6q4q,29.556,28.6298
6s57,1.565,0.556072
6jsf,0.298466,0.298466
6qts,3.52024,3.07103
6oy0,1.72532,1.72532
6miv,4.59285,2.48296
6jid,0.341967,0.341967
6tel,0.280459,0.280459
6nrj,2.29912,1.74332
6qrc,0.232259,0.232259
6iby,1.55705,0.21616
6a1c,1.06853,1.06853
6ffg,0.406415,0.406415
6n96,11.1781,11.1781
6p8y,3.39628,0.687158
6ufo,0.969114,0.969114
6nsv,4.22052,1.58179
6quw,0.355686,0.355686
6i41,1.92719,1.76643
6jse,0.606949,0.606949
5zjy,4.79973,4.79973
6h9v,13.811,12.8144
6g3c,0.47344,0.32134
6fe5,0.981524,0.981524
6g2f,6.02039,4.75748
6qtr,9.75529,8.7896
6ggb,0.716618,0.716618
6jb0,0.360707,0.360707
6ibx,0.29572,0.29572
6g29,0.330203,0.330203
6hhp,35.648,34.5138
6e3n,4.23072,2.76879
6qsz,10.7743,10.4423
6fff,0.905058,0.905058
6gwe,2.23481,1.00956
6n55,6.18796,3.8575
6qfe,3.26565,1.40656
6d40,6.40657,6.40657
6uwv,1.51407,1.51407
6kjf,1.40646,1.40646
6gbw,1.90174,1.69131
6p8x,0.834728,0.834728
6ufn,0.939312,0.939312
6sen,30.4202,27.7131
6ovz,6.61356,1.99077
6hbn,0.418842,0.418842
6hv2,10.2444,5.71047
6fcj,2.07591,0.443319
6qzh,53.8535,52.1013
6olx,3.55336,1.40382
6g2e,0.709532,0.709532
6hmt,35.6236,34.4891
6uii,3.61913,1.94644
6gga,0.853626,0.853626
6ooy,3.9209,3.9209
6k2n,20.55,20.55
6i9a,8.59001,7.90693
6qr0,0.232217,0.232217
6ffe,3.47181,1.20353
6oxp,1.71395,1.16495
6jaq,0.14203,0.14203
6n94,4.26032,3.12006
6mhd,6.08938,5.95592
6qtx,4.06324,3.82738
6jut,1.2911,1.2911
6oxv,0.589349,0.589349
6uhv,1.69687,1.14358
6i68,2.42434,2.42434
6gzy,26.2819,23.7161
6ftf,0.111181,0.111181
6g27,0.512451,0.512451
5zk7,8.26317,8.26317
6e3z,0.387656,0.387656
6jap,0.32414,0.32414
6kjd,5.58433,1.80364
6n93,8.44094,7.97778
6g9f,2.87671,1.89114
6jbb,0.305647,0.305647
6mhc,3.93819,3.93819
6qtw,3.08315,1.84182
6oip,21.1035,19.8019
6rtn,2.18648,1.61143
6ic0,0.32394,0.32394
6g2c,0.26329,0.26329
6i8m,0.377744,0.377744
6pgp,0.351561,0.351561
6n4b,7.13866,1.259
6q38,29.324,27.0516
5zml,3.57575,3.57575
6jao,0.199531,0.199531
6r4k,7.20742,6.41311
6nw3,0.326759,0.326759
6uvv,2.27075,0.56918
6mhb,2.74962,1.15733
6hmy,22.1209,22.1209
6i8t,0.336115,0.336115
6oio,17.3049,15.9061
6a6k,0.585401,0.585401
6mja,5.08643,1.55802
6ggf,0.793377,0.793377
6jb4,0.366519,0.366519
5zk5,8.32678,7.54164
6mo0,15.9086,15.5034
6c85,6.88904,3.38165
6dyz,0.634691,0.634691
6cjj,1.23758,1.23758
6nd3,1.80294,1.6738
6oin,20.4862,19.3817
5zlf,2.62056,1.85453
6hhj,1.72528,1.08263
6uim,2.20928,1.39633
6gge,1.22244,1.22244
6oy2,1.01436,1.01436
6jmf,1.41347,0.518355
6qi7,3.52517,1.40778
6rz6,1.92672,1.92672
6qr4,0.414419,0.414419
6ott,28.5726,27.9656
6d5w,3.54979,0.726097
6oxt,1.09982,1.09982
6oi8,0.117858,0.117858
6cyh,0.959733,0.959733
6te6,0.723624,0.723624
6v5l,6.55865,6.28866
6h7d,0.58321,0.58321
6qlq,3.63262,0.789168
6py0,9.4555,8.11045
6mjq,3.41237,3.41237
6oim,8.21869,5.88969
6uil,1.88232,1.22211
6qxd,7.55914,7.55914
6ggd,1.01627,1.01627
6r7d,4.38932,4.33346
6qr3,23.9191,23.9191
6oxs,1.70503,1.70503
6inz,0.473552,0.473552
6jsn,0.394565,0.394565
6hhg,2.60918,0.827134
6pz4,0.386094,0.386094
6o5u,4.29419,0.523668
6qxa,inf,51.3756
6jad,0.346199,0.346199
